Customer_ID,Course_ID
790,1
791,4
792,48
793,29
794,53
795,31
796,41
797,23
798,2
799,33
800,16
801,6
802,47
803,36
804,26
805,33
806,2
807,20
808,60
809,13
810,7
811,5
812,36
813,31
814,1
815,19
816,22
817,2
818,39
819,37
820,42
821,3
822,9
823,11
824,7
825,56
826,11
827,19
828,56
829,46
830,60
831,60
832,37
833,28
834,54
835,19
836,19
837,25
838,7
839,11
840,3
841,29
842,38
843,1
844,35
845,15
846,49
847,17
848,13
849,60
850,26
851,13
852,38
853,28
854,2
855,49
856,15
857,15
858,41
859,15
860,48
861,25
862,43
863,22
864,9
865,60
866,43
867,23
868,37
869,16
870,53
871,8
872,49
873,22
874,31
875,33
876,44
877,48
878,46
879,6
880,35
881,10
882,30
883,40
884,38
885,42
886,31
887,37
888,26
889,37
890,17
891,4
892,56
893,56
894,26
895,20
896,49
897,49
898,14
899,34
900,39
901,34
902,9
903,27
904,5
905,19
906,15
907,48
908,14
909,44
910,18
911,54
912,45
913,44
914,41
915,38
916,59
917,26
918,7
919,24
920,21
921,29
922,26
923,46
924,3
925,57
926,2
927,25
928,50
929,12
930,10
931,24
932,59
933,55
934,46
935,2
936,48
937,35
938,58
939,53
940,38
941,27
942,34
943,18
944,44
945,47
946,50
947,46
948,17
949,28
950,29
951,23
952,37
953,31
954,60
955,50
956,25
957,18
958,29
959,38
960,5
961,2
962,17
963,57
964,38
965,50
966,5
967,16
968,44
969,52
970,16
971,44
972,3
973,23
974,43
975,11
976,26
977,31
978,40
979,20
980,46
981,39
982,58
983,56
984,30
985,19
986,13
987,18
988,52
989,44
990,26
991,1
992,47
993,55
994,33
995,6
996,51
997,57
998,11
999,15
1000,14
